handle,name,account_type,languages,primary_topic,primary_topics,seed_tier,status,institution_kind,risk_flags,source_url,verified_at
rajgokal,Raj Gokal,person,en,solana,solana,core,approved,,live_validation_required,https://x.com/rajgokal,
mert,Mert Mumtaz,person,en,solana,solana,core,approved,,live_validation_required,https://x.com/mert,
Austin_Federa,Austin Federa,person,en,solana,solana,core,approved,,live_validation_required,https://x.com/Austin_Federa,
Mable_Jiang,Mable Jiang,person,zh|en,solana,solana,core,approved,,live_validation_required,https://x.com/Mable_Jiang,
DefiIgnas,Ignas,person,en,defi,defi,core,approved,,live_validation_required,https://x.com/DefiIgnas,
mrjasonchoi,Jason Choi,person,en,defi,defi,core,approved,,live_validation_required,https://x.com/mrjasonchoi,
DeFi_Dad,DeFi Dad,person,en,defi,defi,core,approved,,live_validation_required,https://x.com/DeFi_Dad,
stacy_muur,Stacy Muur,person,en,defi,defi,core,approved,,live_validation_required,https://x.com/stacy_muur,
alpha_pls,Aylo,person,en,defi,defi,core,approved,,live_validation_required,https://x.com/alpha_pls,
btcdayu,大宇,person,zh,defi,defi,core,approved,,live_validation_required,https://x.com/btcdayu,
baiyu2140,Baiyu,person,zh,defi,defi,core,approved,,live_validation_required,https://x.com/baiyu2140,
mindaoyang,Mindao,person,zh|en,defi,defi,core,approved,,live_validation_required,https://x.com/mindaoyang,
shenchao2020,Shen Chao,person,zh|en,defi,defi,core,approved,,live_validation_required,https://x.com/shenchao2020,
CampbellJAustin,Austin Campbell,person,en,stablecoin_rwa,stablecoin_rwa,core,approved,,live_validation_required,https://x.com/CampbellJAustin,
nathanallman,Nathan Allman,person,en,stablecoin_rwa,stablecoin_rwa,core,approved,,live_validation_required,https://x.com/nathanallman,
jerallaire,Jeremy Allaire,person,en,stablecoin_rwa,stablecoin_rwa,core,approved,,live_validation_required,https://x.com/jerallaire,
nic__carter,Nic Carter,person,en,stablecoin_rwa,stablecoin_rwa,core,approved,,live_validation_required,https://x.com/nic__carter,
CarlosDomingo,Carlos Domingo,person,en,stablecoin_rwa,stablecoin_rwa,core,approved,,live_validation_required,https://x.com/CarlosDomingo,
JiangJinze,Jiang Jinze,person,zh,stablecoin_rwa,stablecoin_rwa,core,approved,,live_validation_required,https://x.com/JiangJinze,
punk6529,6529,person,en,nft_gamefi,nft_gamefi,core,approved,,live_validation_required,https://x.com/punk6529,
Zeneca,Zeneca,person,en,nft_gamefi,nft_gamefi,core,approved,,live_validation_required,https://x.com/Zeneca,
LucaNetz,Luca Netz,person,en,nft_gamefi,nft_gamefi,core,approved,,live_validation_required,https://x.com/LucaNetz,
farokh,Farokh,person,en,nft_gamefi,nft_gamefi,core,approved,,live_validation_required,https://x.com/farokh,
suji_yan,Suji Yan,person,zh|en,nft_gamefi,nft_gamefi,core,approved,,live_validation_required,https://x.com/suji_yan,
MustStopMurad,Murad,person,en,memecoin,memecoin,core,approved,,live_validation_required,https://x.com/MustStopMurad,
blknoiz06,Ansem,person,en,memecoin,memecoin,core,approved,,live_validation_required,https://x.com/blknoiz06,
0xSunNFT,0xSun,person,zh,memecoin,memecoin,core,approved,,live_validation_required,https://x.com/0xSunNFT,
0xUnicorn,0xUnicorn,person,zh,memecoin,memecoin,core,approved,,live_validation_required,https://x.com/0xUnicorn,
BMANLead,BMAN,person,zh,memecoin,memecoin,core,approved,,live_validation_required,https://x.com/BMANLead,
OlimpioCrypto,Olimpio,person,en,airdrop,airdrop,core,approved,,live_validation_required,https://x.com/OlimpioCrypto,
CC2Ventures,CC2,person,en,airdrop,airdrop,core,approved,,live_validation_required,https://x.com/CC2Ventures,
its_airdrop,Airdrop Adventure,person,zh,airdrop,airdrop,core,approved,,live_validation_required,https://x.com/its_airdrop,
0xAA_Science,AA,person,zh,airdrop,airdrop,core,approved,,live_validation_required,https://x.com/0xAA_Science,
samczsun,samczsun,person,en,onchain_security,onchain_security,core,approved,,live_validation_required,https://x.com/samczsun,
Tayvano_,Taylor Monahan,person,en,onchain_security,onchain_security,core,approved,,live_validation_required,https://x.com/Tayvano_,
zachxbt,ZachXBT,person,en,onchain_security,onchain_security,core,approved,,live_validation_required,https://x.com/zachxbt,
secparam,Ian Miers,person,en,onchain_security,onchain_security,core,approved,,live_validation_required,https://x.com/secparam,
pcaversaccio,Pascal Caversaccio,person,en,onchain_security,onchain_security,core,approved,,live_validation_required,https://x.com/pcaversaccio,
spreekaway,Spreek,person,en,onchain_security,onchain_security,core,approved,,live_validation_required,https://x.com/spreekaway,
Phyrex_Ni,Phyrex,person,zh,onchain_security,onchain_security,core,approved,,live_validation_required,https://x.com/Phyrex_Ni,
qinbafrank,Qinba,person,zh,onchain_security,onchain_security,core,approved,,live_validation_required,https://x.com/qinbafrank,
evilcos,Cos,person,zh|en,onchain_security,onchain_security,core,approved,,live_validation_required,https://x.com/evilcos,
0xScope_,0xScope,person,zh,onchain_security,onchain_security,core,approved,,live_validation_required,https://x.com/0xScope_,
CryptoHayes,Arthur Hayes,person,en,trading_macro,trading_macro,core,approved,,live_validation_required,https://x.com/CryptoHayes,
DaanCrypto,Daan Crypto Trades,person,en,trading_macro,trading_macro,core,approved,,live_validation_required,https://x.com/DaanCrypto,
Pentosh1,Pentoshi,person,en,trading_macro,trading_macro,core,approved,,live_validation_required,https://x.com/Pentosh1,
HsakaTrades,Hsaka,person,en,trading_macro,trading_macro,core,approved,,live_validation_required,https://x.com/HsakaTrades,
CryptoCred,CryptoCred,person,en,trading_macro,trading_macro,core,approved,,live_validation_required,https://x.com/CryptoCred,
TraderSZ,TraderSZ,person,zh,trading_macro,trading_macro,core,approved,,live_validation_required,https://x.com/TraderSZ,
0xLoki_,Loki,person,zh|en,trading_macro,trading_macro,core,approved,,live_validation_required,https://x.com/0xLoki_,
0xCryptolee,Crypto Lee,person,zh,trading_macro,trading_macro,core,approved,,live_validation_required,https://x.com/0xCryptolee,
jchervinsky,Jake Chervinsky,person,en,regulation,regulation,core,approved,,live_validation_required,https://x.com/jchervinsky,
amandatums,Amanda Tuminelli,person,en,regulation,regulation,core,approved,,live_validation_required,https://x.com/amandatums,
BillHughesDC,Bill Hughes,person,zh,regulation,regulation,core,approved,,live_validation_required,https://x.com/BillHughesDC,
RebeccaRettig1,Rebecca Rettig,person,zh,regulation,regulation,core,approved,,live_validation_required,https://x.com/RebeccaRettig1,
JasonXChen,Jason Chen,person,en,regulation,regulation,core,approved,,live_validation_required,https://x.com/JasonXChen,
SamiKassab,Sami Kassab,person,en,infra_ai_depin,infra_ai_depin,core,approved,,live_validation_required,https://x.com/SamiKassab,
balajis,Balaji Srinivasan,person,en,infra_ai_depin,infra_ai_depin,core,approved,,live_validation_required,https://x.com/balajis,
naval,Naval,person,en,infra_ai_depin,infra_ai_depin,core,approved,,live_validation_required,https://x.com/naval,
cdixon,Chris Dixon,person,zh,infra_ai_depin,infra_ai_depin,core,approved,,live_validation_required,https://x.com/cdixon,
lex_node,Gabriel Shapiro,person,zh,infra_ai_depin,infra_ai_depin,core,approved,,live_validation_required,https://x.com/lex_node,
zengjiajun_eth,Jiajun Zeng,person,zh,infra_ai_depin,infra_ai_depin,core,approved,,live_validation_required,https://x.com/zengjiajun_eth,
realMaskNetwork,Mask Network Contributor,person,zh,infra_ai_depin,infra_ai_depin,core,approved,,live_validation_required,https://x.com/realMaskNetwork,
BitcoinMagazine,Bitcoin Magazine,media,en,bitcoin,bitcoin,institution,approved,media,live_validation_required,https://x.com/BitcoinMagazine,
bitcoinoptech,Bitcoin Optech,company,en,bitcoin,bitcoin,institution,approved,research_data,live_validation_required,https://x.com/bitcoinoptech,
l2beat,L2BEAT,company,en,ethereum_l2,ethereum_l2,institution,approved,research_data,live_validation_required,https://x.com/l2beat,
ethereum,Ethereum,company,en,ethereum_l2,ethereum_l2,institution,approved,protocol_ecosystem,live_validation_required,https://x.com/ethereum,
HeliusLabs,Helius,company,en,solana,solana,institution,approved,research_data,live_validation_required,https://x.com/HeliusLabs,
MulticoinCap,Multicoin Capital,company,en,solana,solana,institution,approved,fund,live_validation_required,https://x.com/MulticoinCap,
solana,Solana,company,en,solana,solana,institution,approved,protocol_ecosystem,live_validation_required,https://x.com/solana,
BanklessHQ,Bankless,media,en,defi,defi,institution,approved,media,live_validation_required,https://x.com/BanklessHQ,
DeFiLlama,DeFiLlama,company,en,defi,defi,institution,approved,research_data,live_validation_required,https://x.com/DeFiLlama,
paradigm,Paradigm,company,en,defi,defi,institution,approved,fund,live_validation_required,https://x.com/paradigm,
rwa_xyz,RWA.xyz,company,en,stablecoin_rwa,stablecoin_rwa,institution,approved,research_data,live_validation_required,https://x.com/rwa_xyz,
circle,Circle,company,en,stablecoin_rwa,stablecoin_rwa,institution,approved,protocol_ecosystem,live_validation_required,https://x.com/circle,
nftnow,nft now,media,en,nft_gamefi,nft_gamefi,institution,approved,media,live_validation_required,https://x.com/nftnow,
Layer3XYZ,Layer3,company,en,airdrop,airdrop,institution,approved,protocol_ecosystem,live_validation_required,https://x.com/Layer3XYZ,
TheBlock__,The Block,media,en,trading_macro,trading_macro,institution,approved,media,live_validation_required,https://x.com/TheBlock__,
dragonfly_xyz,Dragonfly,company,en,trading_macro,trading_macro,institution,approved,fund,live_validation_required,https://x.com/dragonfly_xyz,
CoinDesk,CoinDesk,media,en,regulation,regulation,institution,approved,media,live_validation_required,https://x.com/CoinDesk,
WuBlockchain,Wu Blockchain,media,zh|en,regulation,regulation,institution,approved,media,live_validation_required,https://x.com/WuBlockchain,
MessariCrypto,Messari,company,en,infra_ai_depin,infra_ai_depin,institution,approved,research_data,live_validation_required,https://x.com/MessariCrypto,
a16zcrypto,a16z crypto,company,en,infra_ai_depin,infra_ai_depin,institution,approved,fund,live_validation_required,https://x.com/a16zcrypto,
100trillionUSD,100trillionUSD,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/100trillionUSD,
woonomic,woonomic,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/woonomic,
cobie,cobie,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/cobie,
danheld,danheld,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/danheld,
WClementeIII,WClementeIII,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/WClementeIII,
JackMallers,JackMallers,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/JackMallers,
ODELL,ODELL,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/ODELL,
BitcoinPierre,BitcoinPierre,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/BitcoinPierre,
antiprosynthesis,antiprosynthesis,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/antiprosynthesis,
0xfoobar,0xfoobar,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/0xfoobar,
armaniferrante,armaniferrante,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/armaniferrante,
buffalu__,buffalu__,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/buffalu__,
7LayerMagik,7LayerMagik,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/7LayerMagik,
TheDeFinvestor,TheDeFinvestor,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/TheDeFinvestor,
Route2FI,Route2FI,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/Route2FI,
Eli5DeFi,Eli5DeFi,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/Eli5DeFi,
DeFi_Cheetah,DeFi_Cheetah,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/DeFi_Cheetah,
0xSteadyLads,0xSteadyLads,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/0xSteadyLads,
Jihoz_Axie,Jihoz_Axie,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/Jihoz_Axie,
ksicrypto,ksicrypto,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/ksicrypto,
DefiWarlord,DefiWarlord,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/DefiWarlord,
officer_cia,officer_cia,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/officer_cia,
realScamSniffer,realScamSniffer,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/realScamSniffer,
MetaSleuth,MetaSleuth,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/MetaSleuth,
TheFlowHorse,TheFlowHorse,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/TheFlowHorse,
CredibleCrypto,CredibleCrypto,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/CredibleCrypto,
fintechfrank,fintechfrank,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/fintechfrank,
MessariRyan,MessariRyan,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/MessariRyan,
PANewsCN,PANewsCN,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/PANewsCN,
OdailyChina,OdailyChina,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/OdailyChina,
BlockBeatsAsia,BlockBeatsAsia,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/BlockBeatsAsia,
TechFlowPost,TechFlowPost,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/TechFlowPost,
ChainCatcher_,ChainCatcher_,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/ChainCatcher_,
ForesightNews,ForesightNews,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/ForesightNews,
HashKey_Capital,HashKey_Capital,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/HashKey_Capital,
SevenXVentures,SevenXVentures,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/SevenXVentures,
FenbushiCapital,FenbushiCapital,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/FenbushiCapital,
Conflux_Network,Conflux_Network,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/Conflux_Network,
NervosNetwork,NervosNetwork,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/NervosNetwork,
BNBCHAIN,BNBCHAIN,person,en,infra_ai_depin,infra_ai_depin,review,review,,profile_activity_content_recheck,https://x.com/BNBCHAIN,
